title,year,authors,journal,categories
Deep learning approach for Network Intrusion Detection in Software Defined Networking,2016,"Tuan A. Tang, Lotfi Mhamdi, Des McLernon, Syed Ali Raza Zaidi, Mounir Ghogho",Proceedings - 2016 International Conference on Wireless Networks and Mobile Communications,deep neural network
Accelerated deep neural networks for enhanced Intrusion Detection System,2016,"Sasanka Potluri, Christian Diedrich",IEEE International Conference on Emerging Technologies and Factory Automation,deep neural network
Intrusion detection system using deep neural network for in-vehicle network security,2016,"Min Joo Kang, Je Won Kang",PLoS ONE,deep neural network
Cyber-attack classification in smart grid via deep neural network,2018,"Liang Zhou, Xuan Ouyang, Huan Ying, Lifang Han, Yushi Cheng, Tianchen Zhang",ACM International Conference Proceeding Series,deep neural network
Anomaly detection in ad-hoc networks based on deep learning model: A plug and play device,2019,"Fang Feng, Xin Liu, Binbin Yong, Rui Zhou, Qingguo Zhou",Ad Hoc Networks,deep neural network
Deep Adversarial Learning in Intrusion Detection: A Data Augmentation Enhanced Framework,2019,"He Zhang, Xingrui Yu, Peng Ren, Chunbo Luo, Geyong Min",,deep neural network
Method of intrusion detection using deep neural network,2017,"Jin Kim, Nara Shin, Seung Yeon Jo, Sang Hyun Kim",2017 IEEE International Conference on Big Data and Smart Computing,deep neural network
a Two-Stage Deep Learning Approach for Can Intrusion Detection System,2018,"Linxi Zhang, Nevrus Kaja, Lyndon Shi",Vehicle Electronics and Architecture ,deep neural network
A deep learning method with filter based feature engineering for wireless intrusion detection system,2019,"Sydney Mambwe Kasongo, Yanxia Sun",IEEE Access,feed forward deep neural network
Long Short Term Memory Recurrent Neural Network Classifier for Intrusion Detection,2016,"Jihyun Kim, Jaehyun Kim, Huong Le Thi Thu, Howon Kim",2016 International Conference on Platform Technology and Service,recurrent neural network
Cloud-Based Cyber-Physical Intrusion Detection for Vehicles Using Deep Learning,2017,"George Loukas, Tuan Vuong, Ryan Heartfield, Georgia Sakellari, Yongpil Yoon, Diane Gan",IEEE Access,recurrent neural network
Anomaly detection in automobile control network data with long short-term memory networks,2016,"Adrian Taylor, Sylvain Leblanc, Nathalie Japkowicz",Proceedings - 3rd IEEE International Conference on Data Science and Advanced Analytics,recurrent neural network
A Deep Learning Approach for Intrusion Detection Using Recurrent Neural Networks,2017,"Chuanlong Yin, Yuefei Zhu, Jinlong Fei, Xinzheng He",IEEE Access,recurrent neural network
Deep Recurrent Neural Network for Intrusion Detection in SDN-based Networks,2018,"Tuan A. Tang, Lotfi Mhamdi, Des McLernon, Syed Ali Raza Zaidi, Mounir Ghogho",2018 4th IEEE Conference on Network Softwarization and Workshops,recurrent neural network
Deep Learning Based Multi-Channel Intelligent Attack Detection for Data Security,2020,"Feng Jiang, Yunsheng Fu, B. B. Gupta, Yongsheng Liang, Seungmin Rho, Fang Lou, Fanzhi Meng, Zhihong Tian",IEEE Transactions on Sustainable Computing,recurrent neural network
Packet-data anomaly detection in PMU-based state estimator using convolutional neural network,2019,"Sagnik Basumallik, Rui Ma, Sara Eftekharnejad",International Journal of Electrical Power & Energy Systems,convolutional neural network
Credit Card Fraud Detection Using Convolutional Neural Networks,2016,"Kang Fu, Dawei Cheng, Yi Tu, Liqing Zhang",Lecture Notes in Computer Science ,convolutional neural network
A Model Based on Convolutional Neural Network for Online Transaction Fraud Detection,2018,"Zhaohui Zhang, Xinxin Zhou, Xiaobo Zhang, Lizhi Wang, Pengwei Wang",Security and Communication Networks,convolutional neural network
DeepCorr: Strong Flow Correlation Attacks on Tor,2018,"Milad Nasr, Alireza Bahramali, Amir Houmansadr",Proceedings of the 2018 ACM SIGSAC Conference on Computer and Communications Security,convolutional neural network
Network Intrusion Detection: Based on Deep Hierarchical Network and Original Flow Data,2019,"Yong Zhang, Xu Chen, Lei Jin, Xiaojuan Wang, Da Guo",IEEE Access,convolutional neural network
Deep-Full-Range: A Deep Learning Based Network Encrypted Traffic Classification and Intrusion Detection Framework,2019,"Yi Zeng, Huaxi Gu, Wenting Wei, Yantao Guo",IEEE Access,convolutional neural network
